date;id_magasin;id_ticket;heure;id_client;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte;produit;category;prix_unitaire;qte
2017-12-01;1245;12451;09:45:01;123;cola;soda;1,3;1;granola;dejeuner;1,8;1;possette;enfant;300;1;couches;enfant;7,9;2;;;;
2017-12-01;1245;12452;09:55:01;124;parmesan;fromage;2;1;abricot;fruits;1,8;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1245;12453;10:05:01;125;farine;farine;0,8;1;adoucissant;entretient maison;3;2;cristaline;eau;1,2;1;;;;;;;;
2017-12-01;1245;12454;10:15:01;126;Candia;lait;1,2;2;liquide vaisselle;entretient maison;1,8;2;;;;;;;;;;;;
2017-12-01;1245;12455;10:25:01;127;couches;enfant;7,9;2;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;couches;enfant;7,9;2
2017-12-01;1245;12456;10:35:01;128;cristaline;eau;1,2;2;cristaline;eau;1,2;2;;;;;;;;;;;;
2017-12-01;1245;12457;10:45:01;129;perrier;eau;3;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1245;12458;10:55:01;130;orangina;soda;1,8;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1245;12459;11:05:01;131;fanta;soda;2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;;;;;
2017-12-01;1245;124510;11:15:01;132;possette;enfant;300;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1245;124511;11:25:01;133;couches;enfant;7,9;2;cristaline;eau;1,2;2;Candia;lait;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1245;124512;11:35:01;134;Iphone 10;hi-tech;899;1;perrier;eau;3;1;;;;;;;;;;;;
2017-12-01;1245;124513;11:45:01;135;Ipad;hi-tech;599;1;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1245;124514;11:55:01;136;granola;dejeuner;1,8;1;baguette;pain;0,9;3;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;
2017-12-01;1245;124515;12:05:01;137;abricot;fruits;1,8;2;ampoule;bazare;7,9;2;;;;;;;;;;;;
2017-12-01;1245;124516;12:15:01;138;cristaline;eau;1,2;2;couches;enfant;7,9;2;;;;;;;;;;;;
2017-12-01;1247;124717;12:25:01;139;perrier;eau;3;1;couches;enfant;7,9;2;;;;;;;;;;;;
